tier,canonical,aliases
online,데일리안,데일리안|dailian.co.kr
online,동행미디어 시대,동행미디어 시대|sidae.com
online,블로터,블로터|bloter.net
online,조세일보,조세일보|joseilbo.com
online,마이데일리,마이데일리|mydaily.co.kr
online,매일일보,m-i.kr
online,서울경제TV,sentv.co.kr
online,토큰포스트,tokenpost.kr
online,뉴스웨이,newsway.co.kr
online,오피니언뉴스,opinionnews.co.kr
online,브릿지경제,viva100.com
online,아시아타임즈,asiatime.co.kr
online,국제뉴스,gukjenews.com
online,뉴스투데이,news2day.co.kr
online,뉴스웍스,newsworks.co.kr
online,톱스타뉴스,topstarnews.net
online,이코노믹리뷰,이코노믹리뷰|ER 이코노믹리뷰|econovill.com
online,위키트리,wikitree.co.kr
online,뉴스토마토,newstomato.com
online,서울파이낸스,seoulfn.com
online,더퍼블릭,thepublic.kr
# 아래는 매체명을 확인하지 못해 도메인을 그대로 canonical로 둔다.
# 전부 저빈도 인터넷 매체라 online으로 분류했다 — 확인되면 canonical을 채울 것.
online,joongangenews.com,joongangenews.com
online,ziksir.com,ziksir.com
online,pointdaily.co.kr,pointdaily.co.kr
online,서울이코노미뉴스,서울이코노미뉴스|seouleconews.com
online,delighti.co.kr,delighti.co.kr
online,industrynews.co.kr,industrynews.co.kr
online,smartbizn.com,smartbizn.com
online,the-biz.co.kr,the-biz.co.kr
online,ikbc.co.kr,ikbc.co.kr
#
# --- Google News RSS 유입분 (2차 확장) ---
# 포털/블로그/기업 자체 채널은 언론사가 아니므로 blog 등급(가중치 0.01)으로 격리한다.
blog,네이트,네이트
blog,네이버 프리미엄콘텐츠,네이버 프리미엄콘텐츠
blog,네이버 블로그(뉴스),Naver Blog
blog,브런치,브런치
blog,카카오 뉴스룸,카카오|kakaocorp.com|kakaoent.com
blog,뉴닉,뉴닉
blog,KB Think,KB Think
# 포털 집계 링크는 원 매체를 알 수 없다. 기사 자체는 정식 보도이므로 online으로 둔다.
online,다음뉴스(집계),v.daum.net
#
daily,대한경제,대한경제
daily,농민신문,농민신문
daily,경기일보,경기일보
daily,대전일보,대전일보
daily,금강일보,금강일보
daily,중부매일,중부매일
daily,신아일보,신아일보
daily,경기신문,경기신문
daily,BBS불교방송,BBS불교방송
daily,kbc광주방송,kbc광주방송
daily,한국금융신문,한국금융신문
online,디일렉,디일렉|thelec.kr
online,IT조선,IT조선|it.chosun.com
online,한경매거진&북,한경매거진&북
online,주간동아,주간동아
online,인베스트조선,인베스트조선
online,마켓인,마켓인
online,딜사이트,딜사이트|DealSite경제TV
online,Investing.com 한국어,Investing.com 한국어
online,녹색경제신문,녹색경제신문
online,디지털투데이,디지털투데이
online,AI타임스,AI타임스
online,자본시장뉴스,자본시장뉴스
online,테크월드,테크월드
online,더구루,더구루
online,스트레이트뉴스,스트레이트뉴스
online,인더스트리뉴스,인더스트리뉴스|industrynews.co.kr
online,CEO스코어데일리,CEO스코어데일리
online,파이낸셜포스트,파이낸셜포스트|financialpost.co.kr
online,인포스탁데일리,인포스탁데일리
online,TradingKey,TradingKey
online,PRESS9,PRESS9
online,테크M,테크M
online,중소기업신문,중소기업신문
online,블루밍비트,블루밍비트
online,뉴시안,뉴시안
online,알파경제,알파경제
online,오마이뉴스,오마이뉴스
online,위키리크스한국,위키리크스한국
online,뉴스스페이스,뉴스스페이스
online,스포츠서울,스포츠서울
online,2news.co.kr,2news.co.kr
